127.0.0.1 - - [26/Jan/2022:19:33:33 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jan/2022:19:33:33 +0900] "GET /WebExam/css/child.html HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [26/Jan/2022:19:33:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2022:19:39:12 +0900] "GET /WebExam/css/child.html HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [26/Jan/2022:19:40:47 +0900] "GET /WebExam/css/child.html HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [26/Jan/2022:19:50:11 +0900] "GET /WebExam/css/sibling.html HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [26/Jan/2022:19:50:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2022:19:50:27 +0900] "GET /WebExam/css/sibling.html HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [26/Jan/2022:19:50:59 +0900] "GET /WebExam/css/sibling.html HTTP/1.1" 200 1446
0:0:0:0:0:0:0:1 - - [26/Jan/2022:19:52:01 +0900] "GET /WebExam/css/sibling.html HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [26/Jan/2022:19:52:32 +0900] "GET /WebExam/css/sibling.html HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [26/Jan/2022:20:11:06 +0900] "GET /WebExam/css/group.html HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [26/Jan/2022:20:19:00 +0900] "GET /WebExam/css/fonts/font-family.html HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [26/Jan/2022:20:19:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2022:20:20:13 +0900] "GET /WebExam/css/fonts/font-family.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [26/Jan/2022:20:20:37 +0900] "GET /WebExam/css/fonts/font-family.html HTTP/1.1" 304 -
